Epoch,Setosa vs Rest,Versicolor vs Rest,Virginica vs Rest,Setosa vs Versicolor,Setosa vs Virginica,Versicolor vs Virginica
61,100.00,40.00,100.00,100.00,100.00,55.00
62,100.00,50.00,100.00,100.00,100.00,55.00
63,100.00,66.67,100.00,100.00,100.00,55.00
64,100.00,66.67,100.00,100.00,100.00,55.00
65,100.00,43.33,73.33,100.00,100.00,55.00
66,100.00,53.33,100.00,100.00,100.00,60.00
67,100.00,66.67,100.00,100.00,100.00,60.00
68,100.00,66.67,100.00,100.00,100.00,60.00
69,100.00,43.33,100.00,100.00,100.00,60.00
70,100.00,66.67,100.00,100.00,100.00,60.00
71,100.00,40.00,100.00,100.00,100.00,60.00
72,100.00,66.67,100.00,100.00,100.00,60.00
73,100.00,50.00,100.00,100.00,100.00,60.00
74,100.00,46.67,100.00,100.00,100.00,60.00
75,100.00,66.67,100.00,100.00,100.00,60.00
76,100.00,60.00,100.00,100.00,100.00,60.00
77,100.00,66.67,100.00,100.00,100.00,60.00
78,100.00,46.67,73.33,100.00,100.00,55.00
79,100.00,66.67,73.33,100.00,100.00,95.00
80,100.00,43.33,76.67,100.00,100.00,95.00
81,100.00,66.67,73.33,100.00,100.00,85.00
82,100.00,43.33,76.67,100.00,100.00,70.00
83,100.00,60.00,76.67,100.00,100.00,70.00
84,100.00,50.00,76.67,100.00,100.00,65.00
85,100.00,66.67,80.00,100.00,100.00,65.00
86,100.00,66.67,76.67,100.00,100.00,65.00
87,100.00,46.67,73.33,100.00,100.00,65.00
88,100.00,60.00,96.67,100.00,100.00,65.00
89,100.00,50.00,96.67,100.00,100.00,65.00
90,100.00,66.67,96.67,100.00,100.00,70.00
91,100.00,46.67,83.33,100.00,100.00,70.00
92,100.00,66.67,83.33,100.00,100.00,70.00
93,100.00,43.33,83.33,100.00,100.00,70.00
94,100.00,66.67,83.33,100.00,100.00,70.00
95,100.00,50.00,80.00,100.00,100.00,70.00
96,100.00,53.33,80.00,100.00,100.00,65.00
97,100.00,53.33,80.00,100.00,100.00,70.00
98,100.00,66.67,80.00,100.00,100.00,70.00
99,100.00,56.67,73.33,100.00,100.00,70.00
100,100.00,66.67,96.67,100.00,100.00,70.00
101,100.00,56.67,96.67,100.00,100.00,70.00
102,100.00,66.67,93.33,100.00,100.00,70.00
103,100.00,50.00,83.33,100.00,100.00,70.00
104,100.00,66.67,83.33,100.00,100.00,70.00
105,100.00,50.00,80.00,100.00,100.00,70.00
106,100.00,60.00,80.00,100.00,100.00,70.00
107,100.00,66.67,80.00,100.00,100.00,70.00
108,100.00,50.00,80.00,100.00,100.00,70.00
109,100.00,66.67,80.00,100.00,100.00,70.00
110,100.00,50.00,83.33,100.00,100.00,70.00
111,100.00,56.67,83.33,100.00,100.00,70.00
112,100.00,66.67,83.33,100.00,100.00,70.00
113,100.00,50.00,83.33,100.00,100.00,70.00
114,100.00,60.00,83.33,100.00,100.00,70.00
115,100.00,66.67,83.33,100.00,100.00,70.00
116,100.00,53.33,80.00,100.00,100.00,95.00
117,100.00,60.00,83.33,100.00,100.00,95.00
118,100.00,66.67,83.33,100.00,100.00,85.00
119,100.00,53.33,83.33,100.00,100.00,80.00
120,100.00,66.67,83.33,100.00,100.00,70.00
121,100.00,50.00,83.33,100.00,100.00,95.00
122,100.00,60.00,83.33,100.00,100.00,95.00
123,100.00,66.67,76.67,100.00,100.00,90.00
124,100.00,53.33,96.67,100.00,100.00,80.00
125,100.00,66.67,93.33,100.00,100.00,75.00
126,100.00,50.00,83.33,100.00,100.00,95.00
127,100.00,60.00,76.67,100.00,100.00,95.00
128,100.00,66.67,96.67,100.00,100.00,90.00
129,100.00,56.67,96.67,100.00,100.00,85.00
130,100.00,60.00,93.33,100.00,100.00,75.00
131,100.00,66.67,83.33,100.00,100.00,95.00
132,100.00,56.67,83.33,100.00,100.00,95.00
133,100.00,63.33,80.00,100.00,100.00,90.00
134,100.00,66.67,80.00,100.00,100.00,85.00
135,100.00,53.33,80.00,100.00,100.00,75.00
136,100.00,60.00,80.00,100.00,100.00,95.00
137,100.00,66.67,96.67,100.00,100.00,95.00
138,100.00,66.67,96.67,100.00,100.00,90.00
139,100.00,53.33,96.67,100.00,100.00,85.00
140,100.00,66.67,93.33,100.00,100.00,75.00
141,100.00,56.67,83.33,100.00,100.00,95.00
142,100.00,63.33,80.00,100.00,100.00,95.00
143,100.00,66.67,80.00,100.00,100.00,90.00
144,100.00,66.67,96.67,100.00,100.00,85.00
145,100.00,53.33,96.67,100.00,100.00,75.00
146,100.00,66.67,93.33,100.00,100.00,95.00
147,100.00,66.67,83.33,100.00,100.00,95.00
148,100.00,46.67,83.33,100.00,100.00,90.00
149,100.00,66.67,80.00,100.00,100.00,85.00
150,100.00,56.67,96.67,100.00,100.00,75.00
151,100.00,60.00,96.67,100.00,100.00,95.00
152,100.00,56.67,93.33,100.00,100.00,95.00
153,100.00,66.67,83.33,100.00,100.00,90.00
154,100.00,66.67,96.67,100.00,100.00,85.00
155,100.00,66.67,96.67,100.00,100.00,75.00
156,100.00,53.33,96.67,100.00,100.00,95.00
157,100.00,66.67,96.67,100.00,100.00,95.00
158,100.00,53.33,93.33,100.00,100.00,90.00
159,100.00,66.67,83.33,100.00,100.00,85.00
160,100.00,66.67,96.67,100.00,100.00,95.00
161,100.00,56.67,96.67,100.00,100.00,95.00
162,100.00,66.67,96.67,100.00,100.00,95.00
163,100.00,66.67,96.67,100.00,100.00,95.00
164,100.00,60.00,93.33,100.00,100.00,90.00
165,100.00,66.67,83.33,100.00,100.00,80.00
166,100.00,66.67,96.67,100.00,100.00,95.00
167,100.00,50.00,96.67,100.00,100.00,95.00
168,100.00,66.67,96.67,100.00,100.00,95.00
169,100.00,53.33,96.67,100.00,100.00,90.00
170,100.00,66.67,93.33,100.00,100.00,85.00
171,100.00,53.33,80.00,100.00,100.00,95.00
172,100.00,66.67,96.67,100.00,100.00,95.00
173,100.00,66.67,96.67,100.00,100.00,95.00
174,100.00,60.00,96.67,100.00,100.00,95.00
175,100.00,66.67,93.33,100.00,100.00,95.00
176,100.00,66.67,83.33,100.00,100.00,85.00
177,100.00,46.67,96.67,100.00,100.00,95.00
178,100.00,66.67,96.67,100.00,100.00,95.00
179,100.00,53.33,96.67,100.00,100.00,95.00
180,100.00,66.67,96.67,100.00,100.00,95.00
181,100.00,66.67,93.33,100.00,100.00,95.00
182,100.00,60.00,80.00,100.00,100.00,90.00
183,100.00,56.67,96.67,100.00,100.00,95.00
184,100.00,66.67,96.67,100.00,100.00,95.00
185,100.00,66.67,96.67,100.00,100.00,95.00
186,100.00,60.00,93.33,100.00,100.00,95.00
187,100.00,53.33,83.33,100.00,100.00,95.00
188,100.00,66.67,96.67,100.00,100.00,90.00
189,100.00,66.67,96.67,100.00,100.00,95.00
190,100.00,60.00,96.67,100.00,100.00,95.00
191,100.00,53.33,96.67,100.00,100.00,95.00
192,100.00,66.67,93.33,100.00,100.00,95.00
193,100.00,66.67,100.00,100.00,100.00,95.00
194,100.00,60.00,96.67,100.00,100.00,90.00
195,100.00,66.67,96.67,100.00,100.00,95.00
196,100.00,53.33,96.67,100.00,100.00,95.00
197,100.00,53.33,96.67,100.00,100.00,95.00
198,100.00,60.00,93.33,100.00,100.00,95.00
199,100.00,56.67,100.00,100.00,100.00,95.00
200,100.00,66.67,96.67,100.00,100.00,90.00
